"anio","iso3","pais","pbi_precios_constantes_base1900","pbi_per_capita_precios_constantes_base100","poblacion_base1900"
1900,"ARG","Argentina",100,100,100
1901,"ARG","Argentina",108.456233421751,105.467167164119,102.834120170289
1902,"ARG","Argentina",106.270557029178,100.493618356425,105.748562711975
1903,"ARG","Argentina",121.474801061008,111.70548190314,108.745604057587
1904,"ARG","Argentina",134.429708222812,120.211581100224,111.827585156486
1905,"ARG","Argentina",152.275862068966,132.417347296334,114.996913303354
1906,"ARG","Argentina",159.936339522546,132.912049579092,120.332460472196
1907,"ARG","Argentina",163.310344827586,129.698300489271,125.915562664675
1908,"ARG","Argentina",179.310344827586,136.090973794085,131.75770576739
1909,"ARG","Argentina",188.159151193634,136.47487575878,137.870908581156
1910,"ARG","Argentina",201.846153846154,139.91079591833,144.267747546785
1911,"ARG","Argentina",205.474801061008,136.952035245759,150.034134718981
1912,"ARG","Argentina",222.259946949602,142.44601418908,156.031004598401
1913,"ARG","Argentina",224.572944297082,138.396689411329,162.267569587324
1914,"ARG","Argentina",201.315649867374,119.295752008708,168.753410308088
1915,"ARG","Argentina",202.376657824934,115.315326903916,175.498490320857
1916,"ARG","Argentina",196.551724137931,110.093282661861,178.531986135447
1917,"ARG","Argentina",180.62599469496,99.4538417088541,181.617916001408
1918,"ARG","Argentina",213.740053050398,115.687003789773,184.757186242637
1919,"ARG","Argentina",221.602122015915,117.904375877443,187.95071884886
1920,"ARG","Argentina",237.729442970822,124.335839250269,191.199451746418
1921,"ARG","Argentina",243.809018567639,123.746214964066,197.023414929044
1922,"ARG","Argentina",263.310344827587,129.693699889569,203.024776879516
1923,"ARG","Argentina",292.318302387268,139.72553023991,209.208941190172
1924,"ARG","Argentina",315.119363395226,146.171818271485,215.581476047561
1925,"ARG","Argentina",313.803713527852,141.258775718171,222.148119246006
1926,"ARG","Argentina",328.933687002653,144.115036116274,228.243836220716
1927,"ARG","Argentina",352.26525198939,150.215355620106,234.506818916881
1928,"ARG","Argentina",374.079575596817,155.257326658318,240.941657085255
1929,"ARG","Argentina",391.320954907162,158.075583780153,247.553066418784
1930,"ARG","Argentina",375.129973474802,147.488119628187,254.34589200845
1931,"ARG","Argentina",349.092838196287,134.73527452272,259.095355268246
1932,"ARG","Argentina",337.527851458886,127.88366889668,263.933506421046
1933,"ARG","Argentina",353.389920424404,131.439146616873,268.862001557638
1934,"ARG","Argentina",381.283819628648,139.214364216571,273.882527693405
1935,"ARG","Argentina",397.867374005306,142.606427469423,278.996803345779
1936,"ARG","Argentina",401.177718832892,141.571150322536,283.375333123241
1937,"ARG","Argentina",430.249336870027,149.48421997592,287.822578824264
1938,"ARG","Argentina",431.575596816977,147.628158814823,292.339618865207
1939,"ARG","Argentina",448.095490716181,150.910716384744,296.927548586921
1940,"ARG","Argentina",455.363395225465,150.988825676645,301.587480520355
1941,"ARG","Argentina",479.161803713529,156.441417098295,306.288329907203
1942,"ARG","Argentina",484.445623342176,155.739023138411,311.062451516491
1943,"ARG","Argentina",481.145888594165,152.304259021696,315.910987443645
1944,"ARG","Argentina",535.342175066314,166.85898116957,320.835097585952
1945,"ARG","Argentina",518.153846153847,159.022916402783,325.835959920038
1946,"ARG","Argentina",564.424403183025,169.29220278365,333.402480387323
1947,"ARG","Argentina",627.204244031831,183.852842022144,341.144709613076
1948,"ARG","Argentina",661.570291777189,189.525451419794,349.066727883333
1949,"ARG","Argentina",652.986737400531,182.821004709197,357.172710236003
1950,"ARG","Argentina",660.912466843502,180.840567233981,365.466928661188
1951,"ARG","Argentina",686.605138179517,183.934581937867,373.287682471505
1952,"ARG","Argentina",652.047795159789,171.163204588882,380.95091566318
1953,"ARG","Argentina",686.605138179517,176.736190932575,388.491533373296
1954,"ARG","Argentina",714.949335201776,180.568105046718,395.944419429333
1955,"ARG","Argentina",765.450835978391,189.775974823604,403.344436349161
1956,"ARG","Argentina",786.715546927477,191.569565804257,410.668335350998
1957,"ARG","Argentina",827.468534124964,198.009728850395,417.89286765306
1958,"ARG","Argentina",877.970034901579,206.555466299858,425.052917082825
1959,"ARG","Argentina",821.26413903735,190.026780495802,432.183367467773
1960,"ARG","Argentina",885.942113780022,201.662571559591,439.319060016165
1961,"ARG","Argentina",948.84365382201,212.531395537774,446.448700636028
1962,"ARG","Argentina",933.783337960538,205.883654133031,453.549040545577
1963,"ARG","Argentina",911.634785116037,197.90739814956,460.637042192383
1964,"ARG","Argentina",1005.54079877638,214.983287200069,467.729753262448
1965,"ARG","Argentina",1097.6791286459,231.166217181015,474.844093584125
1966,"ARG","Argentina",1104.76736562893,229.278485682079,481.845194651544
1967,"ARG","Argentina",1134.00415545646,232.034746782705,488.721698443908
1968,"ARG","Argentina",1182.72922153239,238.609336120938,495.676003613257
1969,"ARG","Argentina",1283.72347217576,255.258849929086,502.910466192414
1970,"ARG","Argentina",1352.82940730536,264.934702397912,510.627484833419
1971,"ARG","Argentina",1403.72335993531,270.476974849347,518.980723115959
1972,"ARG","Argentina",1432.87830220227,271.463170750393,527.835248605339
1973,"ARG","Argentina",1486.54744764452,276.844802479483,536.960576586836
1974,"ARG","Argentina",1566.90469729835,286.912577251476,546.126179726508
1975,"ARG","Argentina",1557.60780137716,280.598711310592,555.101552000024
1976,"ARG","Argentina",1557.42278852301,276.229395588042,563.815007887751
1977,"ARG","Argentina",1656.88261536815,289.452129791162,572.420253588591
1978,"ARG","Argentina",1603.49098920713,275.976364118258,581.024753453169
1979,"ARG","Argentina",1714.71455002884,290.759669759091,589.736035760931
1980,"ARG","Argentina",1740.95168540843,290.80730476968,598.661607481718
1981,"ARG","Argentina",1649.54026959612,271.378362045835,607.837801496318
1982,"ARG","Argentina",1594.06889627642,258.277431365029,617.192484783342
1983,"ARG","Argentina",1660.59048360221,264.985443866012,626.672340704824
1984,"ARG","Argentina",1693.3483123525,266.155918669073,636.224180480442
1985,"ARG","Argentina",1576.70974271748,244.150263410226,645.794815329876
1986,"ARG","Argentina",1687.37168411254,257.444043249567,655.432404966076
1987,"ARG","Argentina",1732.415440342,260.446134942864,665.172259408671
1988,"ARG","Argentina",1702.12120216333,252.187594127655,674.942480041954
1989,"ARG","Argentina",1584.0076199457,231.353178110602,684.670784677284
