"iso3","pais","pbi_per_capita","esperanza_de_vida_al_nacer","anios_de_educacion"
"AFG","Afganistán",1934,63.1,2.7
"AGO","Angola",7771,62.1,5.4
"ALB","Albania",11104,79.2,11.1
"ARE","Emiratos Árabes Unidos",76397,79.6,12.5
"ARG","Argentina",18556,77,11.1
"ARM","Armenia",11454,75.1,11.2
"AUS","Australia",49830,83.4,12.6
"AUT","Austria",42988,81.7,12.2
"AZE","Azerbaiyán",16628,72.8,10.5
"BDI","Burundi",651,61.7,3
"BEL","Bélgica",39756,81.5,12.3
"BEN","Benin",2220,60.1,4.2
"BFA","Burkina Faso",1589,60,1.9
"BGD","Bangladesh",4099,72.6,6.4
"BGR","Bulgaria",18444,74.9,11.3
"BIH","Bosnia y Herzegovina",10460,77.1,9.8
"BLR","Belarús",18727,74.6,12
"BOL","Bolivia",6695,67.7,9.6
"BRA","Brasil",14033,75.1,8
"CAF","República Centroafricana",623,54.4,4.3
"CAN","Canadá",44868,82.1,13.8
"CHE","Suiza",61372,83.6,13.8
"CHL","Chile",22104,80.1,10.8
"CHN","China",13101,77.7,7.5
"CIV","Costa de Marfil",3713,58.8,5.1
"CMR","Camerún",2888,61.2,6.1
"COD","República Democrática del Congo",859,59.9,7
"COG","Congo",5714,64.1,6.2
"COL","Colombia",13545,76.7,8.5
"CRI","Costa Rica",14686,79.5,8.7
"CSK","Checoslovaquia",29600,,
"CUB","Cuba",8325,77.5,12.3
"CZE","Chequia",30748,79,12.8
"DEU","Alemania",46177,81.2,14.1
"DNK","Dinamarca",46312,81,12.9
"DOM","República Dominicana",15912,73.2,9.1
"DZA","Argelia",14228,76.1,8
"ECU","Ecuador",10638,77.1,8.8
"EGY","Egipto",11957,71.4,9.3
"ESP","España",31496,83.1,10.1
"ETH","Etiopía",1838,65.4,3
"FIN","Finlandia",38896,81.6,12.8
"FRA","Francia",38515,82.6,11.5
"GBR","Reino Unido",38058,81.1,13.2
"GEO","Georgia",11984,73.3,12.8
"GHA","Ghana",4267,64.1,8.2
"GIN","Guinea",1606,59.3,2.1
"GRC","Grecia",23450,81.4,10.8
"GTM","Guatemala",7402,72.7,5.7
"HKG","Hong Kong",50839,85.2,12.2
"HND","Honduras",5041,72.8,6.3
"HRV","Croacia",22012,78.3,12.1
"HTI","Haití",1729,64,5.5
"HUN","Hungría",25622,76.2,12.1
"IDN","Indonesia",11851,70.3,8.2
"IND","India",6806,70.7,6.6
"IRL","Irlanda",64684,82.1,11.5
"IRN","Irán",17011,76.2,10.5
"IRQ","Iraq",12835,71.5,7.9
"ISR","Israel",32954,82.8,13.2
"ITA","Italia",34364,83.2,10.6
"JAM","Jamaica",7272,71.8,9.1
"JOR","Jordania",11506,75.8,10.4
