"anio","pbi_per_capita_pconst2004"
1900,4405.8086800852
1901,4646.68160555674
1902,4427.55656047908
1903,4921.52981781955
1904,5296.29227458135
1905,5834.05498112044
1906,5855.85061723478
1907,5714.25898087927
1908,5995.90793623225
1909,6012.82192231584
1910,6164.20199094609
1911,6033.84465641098
1912,6275.89885757788
1913,6097.49335503491
1914,5255.94259697256
1915,5080.57268220137
1916,4850.49940370699
1917,4381.74599068689
1918,5096.94805470032
1919,5194.64122660865
1920,5477.99919814514
1921,5452.02148016373
1922,5714.05628725828
1923,6156.03953960501
1924,6440.05065724346
1925,6223.59140197328
1926,6349.43277051871
1927,6618.20117673148
1928,6840.34077438039
1929,6964.50779128132
1930,6498.04437667311
1931,5936.1784200586
1932,5634.30978466133
1933,5790.9573306761
1934,6133.5185425791
1935,6282.96635980723
1936,6237.35402940677
1937,6585.98873905672
1938,6504.21423531344
1939,6648.83744165779
1940,6652.27878762034
1941,6892.50953376496
1942,6861.563399712
1943,6710.23426411731
1944,7351.48747587063
1945,7006.24545419844
1946,7458.69056494948
1947,8100.20447239496
1948,8350.12878962393
1949,8054.74369449678
1950,7967.48940831007
1951,8103.80577669699
1952,7541.12332488897
1953,7786.65844095935
1954,7955.48524561367
1955,8361.16637149464
1956,8440.18855860549
1957,8723.92982110387
1958,9100.4386634296
1959,8372.21638957049
1960,8884.86708225549
1961,9363.72667250947
1962,9070.83990466969
1963,8719.4213262041
1964,9471.75232819315
1965,10184.7412619858
1966,10101.571423749
1967,10223.0070145661
1968,10512.6708423099
1969,11246.2165668613
1970,11672.5161148051
1971,11916.6980355444
1972,11960.1479401553
1973,12197.2523380058
1974,12640.8192328017
1975,12362.6423791293
1976,12170.1386877648
1977,12752.7070590305
1978,12158.9906053058
1979,12810.3147684331
1980,12812.4134758644
1981,11956.4114308884
1982,11379.2094897816
1983,11674.7516868111
1984,11726.3205672825
1985,10756.7934977786
1986,11342.4920038517
1987,11474.7584202591
1988,11110.9029121742
1989,10192.9784028499
1990,9839.51427695393
1991,10731.9050008428
1992,11625.7964564783
1993,12120.8284575683
1994,12670.8387084596
1995,12169.3305198332
1996,12674.2114576818
1997,13545.6531649737
1998,13925.4409842784
1999,13305.0236496552
2000,13064.9163594004
2001,12382.9517630764
2002,10898.1656811127
2003,11729.2407359342
2004,12656.4423300377
2005,13634.7140417503
2006,14580.0391163552
2007,15729.5030909139
2008,16198.9404963425
2009,15083.0809065488
2010,16439.0564026
2011,17226.2707241208
2012,16856.7182155204
2013,17070.0712000911
2014,16459.2049581871
2015,16727.4347438287
2016,16207.2008338554
2017,16468.020455849
2018,15891.665770091
2019,15425.9829162301
2020,13764.5624072607
2021,15096.1352918327
2022,15698.3399180892
