"anio","pais","iso3","pbi_per_capita_ppa_porcentaje_argentina"
1900,"Argentina","ARG",100
1901,"Argentina","ARG",100
1902,"Argentina","ARG",100
1903,"Argentina","ARG",100
1904,"Argentina","ARG",100
1905,"Argentina","ARG",100
1906,"Argentina","ARG",100
1907,"Argentina","ARG",100
1908,"Argentina","ARG",100
1909,"Argentina","ARG",100
1910,"Argentina","ARG",100
1911,"Argentina","ARG",100
1912,"Argentina","ARG",100
1913,"Argentina","ARG",100
1914,"Argentina","ARG",100
1915,"Argentina","ARG",100
1916,"Argentina","ARG",100
1917,"Argentina","ARG",100
1918,"Argentina","ARG",100
1919,"Argentina","ARG",100
1920,"Argentina","ARG",100
1921,"Argentina","ARG",100
1922,"Argentina","ARG",100
1923,"Argentina","ARG",100
1924,"Argentina","ARG",100
1925,"Argentina","ARG",100
1926,"Argentina","ARG",100
1927,"Argentina","ARG",100
1928,"Argentina","ARG",100
1929,"Argentina","ARG",100
1930,"Argentina","ARG",100
1931,"Argentina","ARG",100
1932,"Argentina","ARG",100
1933,"Argentina","ARG",100
1934,"Argentina","ARG",100
1935,"Argentina","ARG",100
1936,"Argentina","ARG",100
1937,"Argentina","ARG",100
1938,"Argentina","ARG",100
1939,"Argentina","ARG",100
1940,"Argentina","ARG",100
1941,"Argentina","ARG",100
1942,"Argentina","ARG",100
1943,"Argentina","ARG",100
1944,"Argentina","ARG",100
1945,"Argentina","ARG",100
1946,"Argentina","ARG",100
1947,"Argentina","ARG",100
1948,"Argentina","ARG",100
1949,"Argentina","ARG",100
1950,"Argentina","ARG",100
1951,"Argentina","ARG",100
1952,"Argentina","ARG",100
1953,"Argentina","ARG",100
1954,"Argentina","ARG",100
1955,"Argentina","ARG",100
1956,"Argentina","ARG",100
1957,"Argentina","ARG",100
1958,"Argentina","ARG",100
1959,"Argentina","ARG",100
1960,"Argentina","ARG",100
1961,"Argentina","ARG",100
1962,"Argentina","ARG",100
1963,"Argentina","ARG",100
1964,"Argentina","ARG",100
1965,"Argentina","ARG",100
1966,"Argentina","ARG",100
1967,"Argentina","ARG",100
1968,"Argentina","ARG",100
1969,"Argentina","ARG",100
1970,"Argentina","ARG",100
1971,"Argentina","ARG",100
1972,"Argentina","ARG",100
1973,"Argentina","ARG",100
1974,"Argentina","ARG",100
1975,"Argentina","ARG",100
1976,"Argentina","ARG",100
1977,"Argentina","ARG",100
1978,"Argentina","ARG",100
1979,"Argentina","ARG",100
1980,"Argentina","ARG",100
1981,"Argentina","ARG",100
1982,"Argentina","ARG",100
1983,"Argentina","ARG",100
1984,"Argentina","ARG",100
1985,"Argentina","ARG",100
1986,"Argentina","ARG",100
1987,"Argentina","ARG",100
1988,"Argentina","ARG",100
1989,"Argentina","ARG",100
1990,"Argentina","ARG",100
1991,"Argentina","ARG",100
1992,"Argentina","ARG",100
1993,"Argentina","ARG",100
1994,"Argentina","ARG",100
