"iso3","pais","pbi_per_capita","esperanza_de_vida_al_nacer","anios_de_educacion"
"AFG","Afganistán",1934.55497248696,63.081,2.659188987
"AGO","Angola",7771.44176476321,62.1438,5.417390823
"ALB","Albania",11104.1665307794,79.1838,11.09698316
"ARE","Emiratos Árabes Unidos",76397.8181246512,79.6274,12.48400021
"ARG","Argentina",18556.3831116783,76.9994,11.10470009
"ARM","Armenia",11454.425139688,75.0645,11.23515987
"AUS","Australia",49830.7993065638,83.3871,12.55362034
"AUT","Austria",42988.070861139,81.6862,12.20790482
"AZE","Azerbaiyán",16628.0553026199,72.7601,10.54176044
"BDI","Burundi",651.358873529547,61.6884,2.962684561
"BEL","Bélgica",39756.2031198828,81.4787,12.30630493
"BEN","Benin",2220.17662065129,60.1403,4.157598728
"BFA","Burkina Faso",1589.62417706334,60.0466,1.91952002
"BGD","Bangladesh",4099.25304513351,72.5675,6.385879993
"BGR","Bulgaria",18444.2602258735,74.8983,11.29952653
"BIH","Bosnia y Herzegovina",10460.5200964916,77.0926,9.812379837
"BLR","Belarús",18727.3175973704,74.5676,12.04824839
"BOL","Bolivia",6695.77455444207,67.748,9.630357265
"BRA","Brasil",14033.5655610281,75.1095,7.982019901
"CAF","República Centroafricana",623.488873642444,54.3693,4.308
"CAN","Canadá",44868.7435018516,82.0508,13.80017348
"CHE","Suiza",61372.7300646997,83.5615,13.79969025
"CHL","Chile",22104.7653584382,80.1334,10.76136507
"CHN","China",13101.7063814987,77.7444,7.500069873
"CIV","Costa de Marfil",3713.64359327259,58.8494,5.106435161
"CMR","Camerún",2888.04587692091,61.1798,6.095438148
"COD","República Democrática del Congo",859.381700934862,59.9417,7.018696516
"COG","Congo",5714.59169508198,64.0531,6.152
"COL","Colombia",13545.049507922,76.7479,8.504469872
"CRI","Costa Rica",14686.2538512084,79.4835,8.72317028
"CSK","Checoslovaquia",29600.5982177205,,
"CUB","Cuba",8325.63134775279,77.4962,12.34998107
"CZE","Chequia",30748.5083704815,79.0039,12.8280654
"DEU","Alemania",46177.6187002102,81.1717,14.07738018
"DNK","Dinamarca",46312.3443371282,80.99,12.86071014
"DOM","República Dominicana",15912.399502315,73.2323,9.106114462
"DZA","Argelia",14228.0249684358,76.0656,8.004686727
"ECU","Ecuador",10638.8250568252,77.0938,8.782986323
"EGY","Egipto",11957.2122274099,71.3669,9.305633501
"ESP","España",31496.5200102266,83.1436,10.1423502
"ETH","Etiopía",1838.49029539425,65.4117,3.028058847
"FIN","Finlandia",38896.7004527418,81.6266,12.80649996
"FRA","Francia",38515.9193456145,82.5909,11.50988007
"GBR","Reino Unido",38058.0856066745,81.1254,13.24292692
"GEO","Georgia",11984.9049266928,73.3414,12.84828997
"GHA","Ghana",4267.06668462269,64.122,8.193073801
"GIN","Guinea",1606.46662541931,59.3491,2.129199982
"GRC","Grecia",23450.7657830056,81.3907,10.83141518
"GTM","Guatemala",7402.11463716347,72.7257,5.712438107
"HKG","Hong Kong",50839.3714032911,85.2456,12.19762993
"HND","Honduras",5041.63538604545,72.8141,6.287879944
"HRV","Croacia",22012.314709226,78.337,12.05498697
"HTI","Haití",1729.04316390028,64.0188,5.478
"HUN","Hungría",25622.8122663818,76.2039,12.06949997
"IDN","Indonesia",11851.7371686835,70.3375,8.162039757
"IND","India",6806.49856016628,70.7095,6.55361925
"IRL","Irlanda",64684.3020458606,82.0863,11.50796839
"IRN","Irán",17011.3042402865,76.195,10.52784353
"IRQ","Iraq",12835.8125859037,71.5143,7.88291085
"ISR","Israel",32954.7700979549,82.8232,13.24765522
"ITA","Italia",34364.1681780322,83.1847,10.56645012
"JAM","Jamaica",7272.98052171708,71.793,9.062015112
"JOR","Jordania",11506.3382989326,75.7743,10.3508997
"JPN","Japón",38673.8081400895,84.2971,13.34510708
"KAZ","Kazajistán",25307.5554451848,71.4717,12.21006966
"KEN","Kenia",3377.4703662068,62.6765,6.564
"KGZ","Kirguistán",5176.98827684434,70.728,11.36813177
"KHM","Camboya",3628.56112704482,70.5609,4.966
"KOR","Corea del Sur",37927.6094900949,83.3427,12.41257949
"KWT","Kuwait",65520.7366965024,79.7217,7.216040134
"LAO","Laos",6450.90661316053,67.6341,5.288
"LBN","Líbano",12558.9668713435,79.729,8.663865494
"LBR","Liberia",818.421072549232,60.8532,4.944
"LBY","Libia",15013.3124016474,72.7938,7.56
"LKA","Sri Lanka",11662.9064253079,75.748,10.64155006
"LTU","Lituania",27370.5547508053,75.6767,13.29162661
"MAR","Marruecos",8451.13554577848,73.9863,5.782
"MDA","Moldavia",6746.72847590663,70.4916,11.84556961
"MDG","Madagascar",1427.60040175645,65.2697,5.073239803
"MEX","México",16494.0790277644,74.0146,8.933190346
"MLI","Malí",1667.29510015872,59.3934,2.2
"MMR","Myanmar",5838.21726333456,66.4646,6.235442423
"MNG","Mongolia",13382.5423439878,71.1992,9.547314262
"MOZ","Mozambique",1132.77092637306,60.5261,3.130214992
"MRT","Mauritania",3457.51497359588,65.31,4.804934252
"MWI","Malawi",1116.64021795542,63.2758,4.396741029
"MYS","Malasia",24842.3559144886,75.6444,10.55220985
"NAM","Namibia",9043.1201655435,62.5859,7.140568261
"NER","Níger",964.660063357553,62.4544,2.038633011
"NGA","Nigeria",5237.66229974092,52.5536,6.958530903
"NIC","Nicaragua",4952.47720528355,73.8497,7.028
"NLD","Países Bajos",47474.109465493,81.7741,12.32301044
"NOR","Noruega",84580.136202135,82.7605,12.97539473
"NPL","Nepal",2727.42381460806,68.9786,4.965326529
"NZL","Nueva Zelanda",35336.136300262,82.3803,13.13976479
"OMN","Omán",36477.636481529,77.9659,10.81124439
"PAK","Pakistán",5510.39666068435,66.482,4.825690031
"PAN","Panamá",22637.1482353364,77.8629,10.4001236
"PER","Perú",12310.0846865418,76.0089,9.755800247
