"anio","pais","iso3","pib_per_capita_ppa_porcentaje_eeuu"
1900,"Argentina","ARG",57.0197126216437
1901,"Argentina","ARG",52.3467488780852
1902,"Argentina","ARG",49.8720208635701
1903,"Argentina","ARG",53.3364767818007
1904,"Argentina","ARG",58.7049923390331
1905,"Argentina","ARG",60.7915598292004
1906,"Argentina","ARG",56.1917496563766
1907,"Argentina","ARG",55.4140557541377
1908,"Argentina","ARG",64.9400126770342
1909,"Argentina","ARG",60.1748203086793
1910,"Argentina","ARG",63.2161186554918
1911,"Argentina","ARG",61.3297854015209
1912,"Argentina","ARG",62.3761657414546
1913,"Argentina","ARG",59.8735488431082
1914,"Argentina","ARG",57.8582319857373
1915,"Argentina","ARG",56.4262358474969
1916,"Argentina","ARG",48.198452717944
1917,"Argentina","ARG",45.5211842871508
1918,"Argentina","ARG",49.4398703239253
1919,"Argentina","ARG",50.4412520044725
1920,"Argentina","ARG",54.5261473927243
1921,"Argentina","ARG",57.189336934001
1922,"Argentina","ARG",57.9037449076792
1923,"Argentina","ARG",56.1183600827021
1924,"Argentina","ARG",58.0944256368159
1925,"Argentina","ARG",56.0280513815403
1926,"Argentina","ARG",54.6542489621407
1927,"Argentina","ARG",57.446855874939
1928,"Argentina","ARG",59.7324147094917
1929,"Argentina","ARG",58.2304078735964
1930,"Argentina","ARG",60.8042159792782
1931,"Argentina","ARG",59.5813292755613
1932,"Argentina","ARG",66.9888081631629
1933,"Argentina","ARG",71.7176811935497
1934,"Argentina","ARG",70.7157614916181
1935,"Argentina","ARG",65.0356878401002
1936,"Argentina","ARG",59.0082580568574
1937,"Argentina","ARG",58.2110881034667
1938,"Argentina","ARG",61.6655674765247
1939,"Argentina","ARG",59.1865972738531
1940,"Argentina","ARG",55.2515403653296
1941,"Argentina","ARG",50.6219779468572
1942,"Argentina","ARG",45.9251093857492
1943,"Argentina","ARG",41.5321476783464
1944,"Argentina","ARG",42.9369934941857
1945,"Argentina","ARG",42.136114019846
1946,"Argentina","ARG",50.1670893488654
1947,"Argentina","ARG",56.6815026425492
1948,"Argentina","ARG",56.8200631668018
1949,"Argentina","ARG",56.6682106905055
1950,"Argentina","ARG",52.1587926509186
1951,"Argentina","ARG",50.1457364341085
1952,"Argentina","ARG",45.7248844563367
1953,"Argentina","ARG",45.9242182420051
1954,"Argentina","ARG",48.0741279069767
1955,"Argentina","ARG",48.0598733448474
1956,"Argentina","ARG",48.4221417485773
1957,"Argentina","ARG",50.0114902907044
1958,"Argentina","ARG",53.5996695385342
1959,"Argentina","ARG",46.6703910614525
1960,"Argentina","ARG",49.0723819017555
1961,"Argentina","ARG",51.4112792297111
1962,"Argentina","ARG",47.6865514333895
1963,"Argentina","ARG",44.5577534078098
1964,"Argentina","ARG",46.3948919449902
1965,"Argentina","ARG",47.4754558204769
1966,"Argentina","ARG",44.7245772115939
1967,"Argentina","ARG",44.6545836616759
1968,"Argentina","ARG",44.2573129036343
1969,"Argentina","ARG",46.3608183508989
1970,"Argentina","ARG",48.5808498205192
1971,"Argentina","ARG",49.2047224727392
1972,"Argentina","ARG",47.8869914220508
1973,"Argentina","ARG",47.7069393278701
1974,"Argentina","ARG",50.5364072129651
1975,"Argentina","ARG",49.8767144398212
1976,"Argentina","ARG",46.9214280434622
1977,"Argentina","ARG",47.2697403664155
1978,"Argentina","ARG",42.4912927678754
1979,"Argentina","ARG",43.7877725466627
1980,"Argentina","ARG",44.1727736314208
1981,"Argentina","ARG",40.3413627894597
1982,"Argentina","ARG",39.5412529955495
1983,"Argentina","ARG",39.0443663372903
1984,"Argentina","ARG",36.9029804214989
1985,"Argentina","ARG",32.9921569814977
1986,"Argentina","ARG",34.0177252584933
1987,"Argentina","ARG",33.4955369997121
1988,"Argentina","ARG",31.3526475754956
1989,"Argentina","ARG",28.2756556752639
1990,"Argentina","ARG",27.7270023254556
1991,"Argentina","ARG",30.7810379448805
1992,"Argentina","ARG",32.9403466271038
1993,"Argentina","ARG",34.2327042794523
1994,"Argentina","ARG",34.9712204539857
1995,"Argentina","ARG",33.2211949370738
1996,"Argentina","ARG",33.9378697779639
1997,"Argentina","ARG",35.2869215314192
1998,"Argentina","ARG",35.2565272951609
1999,"Argentina","ARG",32.7034318404257
2000,"Argentina","ARG",31.3141162990475
2001,"Argentina","ARG",29.7571347137627
2002,"Argentina","ARG",26.1416493470212
2003,"Argentina","ARG",27.7547103849063
2004,"Argentina","ARG",29.2481551444422
2005,"Argentina","ARG",30.9016833304094
2006,"Argentina","ARG",32.6609611800176
2007,"Argentina","ARG",35.1499609978298
2008,"Argentina","ARG",36.837452316241
2009,"Argentina","ARG",35.7645543813415
2010,"Argentina","ARG",38.5248221262255
2011,"Argentina","ARG",40.2677403120282
2012,"Argentina","ARG",38.8915347065127
2013,"Argentina","ARG",39.0716237736665
2014,"Argentina","ARG",37.1303034995355
2015,"Argentina","ARG",37.0823905230933
2016,"Argentina","ARG",35.6031311892861
2017,"Argentina","ARG",35.5521181167498
2018,"Argentina","ARG",33.5347799655183
2019,"Argentina","ARG",31.9572583061993
2020,"Argentina","ARG",29.5616472570061
2021,"Argentina","ARG",30.6847297825264
2022,"Argentina","ARG",31.3567678663833
1900,"Australia","AUS",79.5887195375638
1901,"Australia","AUS",69.7690604192994
1902,"Australia","AUS",70.1731921363649
1903,"Australia","AUS",72.6624218182762
1904,"Australia","AUS",79.019736050535
1905,"Australia","AUS",74.8245979863467
1906,"Australia","AUS",71.9831543386965
1907,"Australia","AUS",73.945705883015
1908,"Australia","AUS",83.3446963178749
1909,"Australia","AUS",81.0359690045647
1910,"Australia","AUS",86.1802142865824
1911,"Australia","AUS",83.5670966382138
1912,"Australia","AUS",81.4508633802121
1913,"Australia","AUS",81.3219714954312
1914,"Australia","AUS",88.0900651532801
1915,"Australia","AUS",85.1795004884086
1916,"Australia","AUS",76.0590561968774
1917,"Australia","AUS",78.1752382282372
1918,"Australia","AUS",70.058120281305
1919,"Australia","AUS",71.934526905259
1920,"Australia","AUS",74.8257120199651
1921,"Australia","AUS",80.9105601878475
1922,"Australia","AUS",80.6416543986865
1923,"Australia","AUS",74.7522208344508
1924,"Australia","AUS",77.6060280590819
1925,"Australia","AUS",79.3827889831941
1926,"Australia","AUS",76.263539668661
1927,"Australia","AUS",76.6276023195224
1928,"Australia","AUS",75.8881116703922
1929,"Australia","AUS",70.1759648975148
1930,"Australia","AUS",70.163745457251
1931,"Australia","AUS",69.8824446801411
1932,"Australia","AUS",86.8086176321714
1933,"Australia","AUS",95.8969271399544
1934,"Australia","AUS",93.0646650663063
1935,"Australia","AUS",87.5647277351539
1936,"Australia","AUS",83.1944523469998
1937,"Australia","AUS",81.0882670630648
1938,"Australia","AUS",89.1305429155376
1939,"Australia","AUS",83.4090613124264
1940,"Australia","AUS",81.865240269932
1941,"Australia","AUS",79.8323570011653
1942,"Australia","AUS",80.451322826434
1943,"Australia","AUS",76.4974061198225
1944,"Australia","AUS",69.0321439449609
1945,"Australia","AUS",66.9152805966904
1946,"Australia","AUS",70.9193710644531
1947,"Australia","AUS",74.2197881002413
1948,"Australia","AUS",75.3687053831025
1949,"Australia","AUS",81.2584808608665
1950,"Australia","AUS",77.5262467191601
1951,"Australia","AUS",74.2077519379845
1952,"Australia","AUS",71.9046460715154
1953,"Australia","AUS",70.7158479635869
1954,"Australia","AUS",75.2119670542636
1955,"Australia","AUS",73.6614853195164
1956,"Australia","AUS",74.2886704604242
1957,"Australia","AUS",74.0836493163277
1958,"Australia","AUS",78.1187300837956
1959,"Australia","AUS",76.8324022346369
1960,"Australia","AUS",77.6042531982057
1961,"Australia","AUS",75.8899587345255
1962,"Australia","AUS",75.8273608768971
1963,"Australia","AUS",76.780772778518
1964,"Australia","AUS",77.1070726915521
1965,"Australia","AUS",75.6521739130435
1966,"Australia","AUS",72.4577211593946
1967,"Australia","AUS",74.8971193415638
1968,"Australia","AUS",75.0073867713478
1969,"Australia","AUS",76.1644967968589
1970,"Australia","AUS",79.9983304115536
1971,"Australia","AUS",80.3066327785521
1972,"Australia","AUS",77.799637994806
1973,"Australia","AUS",77.1633711750996
1974,"Australia","AUS",78.7415354180933
1975,"Australia","AUS",80.8791801510248
1976,"Australia","AUS",79.8765614605662
1977,"Australia","AUS",77.1115317310096
1978,"Australia","AUS",74.9436590862528
